linea,estacion,afluencia_media,afluencia_std,proporcion_prepago,proporcion_gratuidad,proporcion_boleto,nivel_saturacion_medio
12,ZAPATA,10878.655094339623,3192.795693103283,0.8447686356204936,0.15523136437950635,0.0,1.2996226415094339
12,ZAPOTITLAN,10972.462592202319,2834.125740133668,0.8444141998515884,0.15558580014841156,0.0,1.3003161222339306
2,ALLENDE,20730.11510791367,9510.00249749833,0.6998364486004195,0.17471941910883848,0.12544413229074206,1.2995889003083247
2,BELLAS ARTES,20354.850462487153,7545.122152073426,0.7826097322608939,0.10445432926600491,0.11293593847310114,1.2995889003083247
2,CHABACANO,19245.064234326823,6896.354286782844,0.6997194414567188,0.16692089974773083,0.13335965879555034,1.2995889003083247
2,COLEGIO MILITAR,11237.169064748201,5431.078732740155,0.6925501597961085,0.14246392056494947,0.16498591963894213,1.2995889003083247
2,CUATRO CAMINOS,68149.34737923947,28355.175856509144,0.9021021719881301,0.06545593398694692,0.03244189402492294,1.2995889003083247
2,CUITLAHUAC,12540.93062692703,3996.7061723486445,0.6757802343064103,0.1248954664028204,0.19932429929076925,1.2995889003083247
2,ERMITA,12654.56937307297,4146.1018384842,0.651907025258116,0.16206710407141753,0.18602587067046653,1.2995889003083247
2,GENERAL ANAYA,15740.017471736895,5801.413653421101,0.7084189771728954,0.15330231068497358,0.13827871214213103,1.2990750256937307
2,HIDALGO,24038.792394655706,8147.450776932221,0.6960952017883402,0.1603550758006129,0.14354972241104694,1.2995889003083247
2,NATIVITAS,14440.4049331963,4996.770068369204,0.7018903356983389,0.17825473773683156,0.11985492656482961,1.2995889003083247
2,NORMAL,25070.44861253854,10559.101607305383,0.7103982646888038,0.1208122676486621,0.16878946766253408,1.2990750256937307
2,PANTEONES,9414.263617677287,2921.7741616707413,0.6715241539362526,0.1510882620278673,0.17738758403588004,1.2990750256937307
2,PINO SUAREZ,25377.876156217884,11868.198696855723,0.663103543408421,0.183226479066508,0.15366997752507097,1.2995889003083247
2,POPOTLA,6938.857656731758,2960.0251403756656,0.6888049750396794,0.1376026757433144,0.1735923492170062,1.2990750256937307
2,PORTALES,15314.519527235354,4583.613253029317,0.6310179960763973,0.1890840782492961,0.17989792567430654,1.2995889003083247
2,REVOLUCION,21438.384378211715,7438.371313650285,0.7408754122397441,0.1496706563162597,0.10945393144399612,1.2995889003083247
